strain,stage,hour,medianLength,medianWidth
dpy-1,L1,1,85,1.13157894736842
dpy-1,L1,1,82,1.11538461538462
dpy-1,L1,1,84.5,1.124479294290615
dpy-1,L1,1,83,1.14634146341463
dpy-1,L1,1,89,1.11904761904762
dpy-1,L1,1,82.5,1.092097532314925
dpy-1,L1,1,85,1.1219512195122
dpy-1,L1,1,83,1.15267857142857
dpy-1,L1,1,85.5,1.20017825311943
dpy-1,L1,1,78.5,1.044834307992205
dpy-1,L1,1,80,1.06894934333959
dpy-1,L1,1,84,1.1547619047619
dpy-1,L1,1,89,1.12987012987013
dpy-1,L1,1,87.5,1.144480085538625
dpy-1,L1,1,85,1.15384615384615
dpy-1,L1,1,84,1.17441860465116
dpy-1,L1,1,84,1.15217391304348
dpy-1,L1,1,86.5,1.13092105263158
dpy-1,L1,1,82,1.18181818181818
dpy-1,L1,1,82.5,1.15877630121816
dpy-1,L1,1,85,1.15116279069767
dpy-1,L1,1,85,1.12658227848101
dpy-1,L1,2,89,1.16129032258065
dpy-1,L1,2,90,1.13829787234043
dpy-1,L1,2,87,1.03448275862069
dpy-1,L1,2,83,1.11702127659574
dpy-1,L1,2,89,1.190074906367045
dpy-1,L1,2,86,1.1490231990232
dpy-1,L1,2,86,1.1625
dpy-1,L1,2,89.5,1.166521739130435
dpy-1,L1,2,81,1.14141414141414
dpy-1,L1,2,90,1.11111111111111
dpy-1,L1,2,84,1.105742513121335
dpy-1,L1,2,89,1.1741272522522501
dpy-1,L1,2,92,1.104031385281385
dpy-1,L1,2,90.5,1.143603782976605
dpy-1,L1,2,88,1.18627450980392
dpy-1,L1,2,89,1.10227272727273
dpy-1,L1,2,90,1.13540652385589
dpy-1,L1,2,88.5,1.14017857142857
dpy-1,L1,2,86.5,1.09684065934066
dpy-1,L1,2,86,1.103961584633855
dpy-1,L1,2,92,1.1848040977713898
dpy-1,L1,2,87,1.112349313148305
dpy-1,L1,3,86,1.14583333333333
dpy-1,L1,3,89.5,1.1145091693635352
dpy-1,L1,3,90.5,1.0801282051282048
dpy-1,L1,3,87,1.1336996336996301
dpy-1,L1,3,87,1.11340206185567
dpy-1,L1,3,96,1.12
dpy-1,L1,3,90,1.106117353308365
dpy-1,L1,3,87.5,1.163037166085945
dpy-1,L1,3,89,1.14606741573034
dpy-1,L1,3,92,1.14736842105263
dpy-1,L1,3,91,1.1025641025641
dpy-1,L1,3,98,1.13793103448276
dpy-1,L1,3,99.5,1.174545454545455
dpy-1,L1,3,91,1.1304347826087
dpy-1,L1,3,98,1.14705882352941
dpy-1,L1,3,87,1.14285714285714
dpy-1,L1,3,89,1.14457831325301
dpy-1,L1,3,97,1.10714285714286
dpy-1,L1,3,94,1.14444444444444
dpy-1,L1,3,91,1.14772727272727
dpy-1,L1,3,92.5,1.133497807017545
dpy-1,L1,3,93.5,1.141337719298245
dpy-1,L1,4,96,1.19090909090909
dpy-1,L1,4,96,1.17796610169492
dpy-1,L1,4,95,1.14117647058824
dpy-1,L1,4,95,1.21277777777778
dpy-1,L1,4,97.5,1.1631578947368402
dpy-1,L1,4,90,1.15238095238095
dpy-1,L1,4,97,1.153406544150605
dpy-1,L1,4,94,1.15384615384615
dpy-1,L1,4,95,1.15675744789669
dpy-1,L1,4,98,1.1413210445468498
dpy-1,L1,4,96,1.15625
dpy-1,L1,4,100,1.14285714285714
dpy-1,L1,4,96,1.13924050632911
dpy-1,L1,4,98,1.14736842105263
dpy-1,L1,4,101,1.14285714285714
dpy-1,L1,4,96,1.15730337078652
dpy-1,L1,4,95,1.12
dpy-1,L1,4,95.5,1.155196828094025
dpy-1,L1,4,95.5,1.1699449252557002
dpy-1,L1,4,100,1.15384615384615
dpy-1,L1,4,100.5,1.170237561631555
dpy-1,L1,4,99,1.20224719101124
dpy-1,L1,5,101,1.1831828885400348
dpy-1,L1,5,94,1.14285714285714
dpy-1,L1,5,104,1.1752946127946151
dpy-1,L1,5,98,1.16842105263158
dpy-1,L1,5,94.5,1.181985294117645
dpy-1,L1,5,97,1.171506612995975
dpy-1,L1,5,99,1.2
dpy-1,L1,5,101.5,1.1569458291791301
dpy-1,L1,5,98,1.1649984986487851
dpy-1,L1,5,95,1.17543859649123
dpy-1,L1,5,108,1.18852459016393
dpy-1,L1,5,105,1.19791666666667
dpy-1,L1,5,101,1.15625
dpy-1,L1,5,107,1.203125
dpy-1,L1,5,106,1.18411200958371
dpy-1,L1,5,106.5,1.211523498288205
dpy-1,L1,5,108,1.15315315315315
dpy-1,L1,5,100,1.21
dpy-1,L1,5,102.5,1.20853371051391
dpy-1,L1,5,102,1.195784094538485
dpy-1,L1,5,102.5,1.15975813177648
dpy-1,L1,5,109.5,1.1698610227995299
dpy-1,L1,6,110,1.22522522522523
dpy-1,L1,6,106,1.2406252783468399
dpy-1,L1,6,112.5,1.22249297094658
dpy-1,L1,6,114.5,1.2596745162741851
dpy-1,L1,6,112,1.18627450980392
dpy-1,L1,6,117,1.23478260869565
dpy-1,L1,6,107,1.21486013986014
dpy-1,L1,6,110,1.20909090909091
dpy-1,L1,6,106.5,1.2378640776699
dpy-1,L1,6,108.5,1.19008027522936
dpy-1,L1,6,105,1.2142857142857149
dpy-1,L1,6,110,1.17647058823529
dpy-1,L1,6,104.5,1.2287358109158748
dpy-1,L1,6,109,1.22321428571429
dpy-1,L1,6,112,1.16964285714286
dpy-1,L1,6,109,1.18269230769231
dpy-1,L1,6,112,1.21848739495798
dpy-1,L1,6,104.5,1.1956018518518499
dpy-1,L1,6,107.5,1.1984559122308
dpy-1,L1,6,117,1.21428571428571
dpy-1,L1,6,108,1.138025210084035
dpy-1,L1,6,109,1.21359223300971
dpy-1,L1,7,109,1.286375661375665
dpy-1,L1,7,106,1.2113015017327702
dpy-1,L1,7,112,1.24074074074074
dpy-1,L1,7,114.5,1.2857523657203749
dpy-1,L1,7,118,1.23387096774194
dpy-1,L1,7,111,1.24355158730159
dpy-1,L1,7,114.5,1.23248381877023
dpy-1,L1,7,115,1.22115384615385
dpy-1,L1,7,115,1.26086956521739
dpy-1,L1,7,112.5,1.28297853389151
dpy-1,L1,7,122,1.234055555555555
